character,games,turns,first_actual_year,last_actual_year,community,top_partners
Jerome,7,97,2008,2012,2,Elrik (4); Pablo (3); Nimoe (2); Volrath (2); Zahet (2); Maynard (2); Thorck (2); Areion (1); Tordek (1); Ailin (1); Aranel (1); Loxis (1); Megalos (1); merlinho (1); Midhriel (1)
Jidan,1,18,2007,2007,5,Adema (1); Arhamir (1); Axia (1); Ducan (1); Eufrasia (1); Euridas (1); Manadriel (1); Myrddinwyllt (1); Nyden (1); Ramel (1); ThamiorLothain (1)
Jill,4,140,2006,2006,4,Mateky (3); Beatrix (3); Bill (3); Druelyn (3); Ellenroh (3); Erol (3); Francis (3); Jeanne (3); Kanon (3); Loki (3); Loriel (3); Malduin (3); Merenwen (3); Oltar (3); Ratav (3)
Joandir,2,12,2004,2004,4,buru (2); Eithel (2); Steel (2); Ylerei (2); Krimgor (1)
Joans,2,19,2006,2006,2,Jeanne (1); Jarl (1); Jeko (1); Maseeri (1); Midhriel (1); Takeru (1); Tiran (1); Zanner (1)
Joaquim,1,20,2008,2008,3,Blancks (1); Evaq (1); Jacques (1); Leilai (1); Lulu (1); merlinho (1); Moxeill (1); Nihel (1); Rikja (1)
Jodhel,3,27,2008,2025,0,merlinho (2); Bill (1); Ramyr (1); Tony (1); Zanner (1); Guineth (1); Heleg (1); Ianor (1); Adema (1); Elimar (1); Euridas (1); Francislake (1); Herick (1); Malll (1); Melwen (1)
Jodram,1,6,2009,2009,0,Elyen (1)
Joell,1,11,2008,2008,1,Asgard (1); Axia (1); Dadox (1); Daerithas (1); Desdemona (1); Ramyr (1); Theon (1); Voltan (1); Ylerei (1)
Johel,1,10,2008,2008,1,Ages (1); Daerithas (1); Dajemona (1); Delereth (1); Elsah (1); Guts (1); Velenofonte (1); Voltan (1)
Jolanda,1,6,2005,2005,4,Caesar (1); Gween (1); merlinho (1); Midhriel (1); Olos (1)
Jolrael,1,12,,,4,Anarion (1); Ayla (1); Bhrama (1); Celebi (1); Cloud (1); Dehro (1); Dibbe (1); Eithel (1); Eorinan (1); Frazelhar (1); Ireth (1); Kahzar (1); Khazard (1); Lucrezia (1); Malduin (1)
Jona,1,2,2008,2008,2,Eris (1); Khael (1); Rayleigh (1)
Jose,1,3,2006,2006,6,Adhanedhel (1); Aleleres (1); Alisa (1); Ambry (1); Aouda (1); Ariel (1); Arthas (1); Arwin (1); Deving (1); Emelaine (1); Ervine (1); Galadriell (1); Ifrid (1); Kenny (1); Lalique (1)
Joshua,2,30,2004,2006,3,Keleldur (2); Vahn (2); Wiliand (2); Luork (1); Ayla (1); Gurnbeld (1); Horas (1); Kazuya (1); Loial (1); Malantio (1); Ratav (1)
Jsau,3,8,2006,2019,2,Gwayne (2); Blancks (1); Elanoer (1); Ylerei (1); Elisabeth (1); Melwen (1); Wonderela (1); Geminah (1); Jarl (1); knives (1); Maseeri (1); Vahn (1)
Juain,1,9,2007,2007,2,Elrik (1); Hadjat (1); Lyath (1); Volrath (1)
Jude,2,99,2012,2012,0,Fagin (2); Vahn (2); Arioch (1); Burrasca (1); Egide (1); Elyen (1); Mekylius (1); Tarik (1)
Juliette,8,63,2007,2008,1,Axia (6); Fortescue (4); Ailin (3); Aranel (3); Bauster (2); Loto (2); Phemt (2); Anarion (2); Aureliano (2); Azhal (2); Celine (2); Habel (2); Mathias (2); Philippe (2); Zahet (2)
Jun,8,37,2009,2009,0,Shaliah (3); Alyon (2); Bauster (2); Dadox (2); Dareon (2); Dominique (2); Elyen (2); Emile (2); Eventine (2); Fek (2); Helajartie (2); Jago (2); Jeanne (2); Lancel (2); Malvenis (2)
Jungschlager,1,2,2013,2013,0,Erebo (1); Mekylius (1); Mellance (1)
Kadajong,1,3,2006,2006,2,Arentor (1); Nordus (1); Ryoner (1); Seyfer (1)
Kadrin,4,34,2012,2014,0,Katon (2); Claymore (2); Khael (1); Lionel (1); Maximilian (1); Mhikal (1); Relenan (1); Theon (1); Val (1); Mossflower (1); Mynoth (1); Rubyen (1); Elliot (1); Essedil (1); Luinil (1)
Kaelen,6,43,2025,2026,3,Vahn (5); Akuma (2); Almandine (2); Elvaan (1); Maseeri (1); Mynoth (1); Mihawk (1); Mogan (1); Urwen (1)
Kahzar,27,243,2004,2008,4,Midhriel (10); Sealyan (9); merlinho (8); Miroth (8); Anarion (6); Morganas (5); Alsen (4); Arwiel (4); Asgard (4); Cleryon (4); deargh (4); Hamild (4); Ireth (4); Krimgor (4); Loriel (4)
Kaine,1,5,2007,2007,1,Arhamir (1); Desdemona (1); Emyride (1); Silvereth (1); Sinmaril (1)
Kairi,1,2,2007,2007,5,Edmund (1); Ellenroh (1); Fate (1); Iphigenia (1); Loxis (1); Midhriel (1); Myrddinwyllt (1); Saarhen (1); Shaduz (1); Tatoz (1)
Kale,1,16,2008,2008,2,Dadox (1); Euridas (1); Field (1); Maximilian (1); Phemt (1); Vein (1)
Kamilah,1,5,2006,2006,5,Daarigraz (1); Elina (1); Kerixon (1)
kan,1,1,2007,2007,1,Haldir (1); merlinho (1); Seja (1); Skan (1); Voltan (1)
Kandar,1,15,2005,2005,4,Alastor (1); Alexander (1); Allie (1); Ascot (1); Baal (1); Helena (1); Igrey (1); Ireth (1); Keylan (1); Lance (1); Lantys (1); Lenara (1); Mirodek (1); Morganas (1); Pharsifal (1)
Kanon,13,174,2006,2007,4,Merenwen (6); Loki (6); Beatrix (4); Bill (4); Oltar (4); Zurzak (3); Druelyn (3); Ellenroh (3); Erol (3); Francis (3); Jeanne (3); Jill (3); Loriel (3); Malduin (3); Ratav (3)
Karel,2,16,2014,2014,0,Elliot (2); Katon (1); Claymore (1); Khalux (1); Luinil (1)
Karilh,4,79,2009,2009,0,Arioch (2); Mekylius (2); Pyro (2); Alcalime (1); Dajemona (1); Siulefh (1); Vhelia (1); Ailin (1); Elron (1); Squixo (1); Elimar (1); Rhaziel (1)
Karolus,2,11,2008,2008,7,Blancks (1); Adema (1); Euridas (1); Skan (1); Tyrus (1)
Katherina,1,2,2012,2012,0,Gregor (1); Katon (1)
Katheryne,1,3,2014,2014,0,Jago (1); Maynard (1); Rago (1); Vahn (1)
Katon,26,189,2011,2014,0,Claymore (7); Luinil (7); Aries (5); Carcinero (5); Francislake (5); merlinho (4); Lionel (4); Amaranth (4); Cyru (3); Andrey (3); Elimar (3); Kruvenz (3); Lyzur (3); Raxiel (3); Regan (3)
Kaya,1,3,2008,2008,1,Adema (1); Ailin (1); Alcalime (1); Aranel (1); Asgard (1); Daerithas (1); Dajemona (1); Desdemona (1); Fortescue (1); Geror (1); Jeanne (1); Loxis (1)
Kayla,1,50,2009,2009,1,Almha (1); Dajemona (1); Francislake (1); Napple (1)
Kazuya,20,373,2004,2013,0,Steel (9); Theunis (6); Slythrott (6); Vahn (4); Stige (4); Elimar (4); Rephexia (4); Eldur (3); Malduin (3); Arioch (3); Tyrion (3); Keleldur (2); Amlaric (2); Jan (2); Tarik (2)
Kein,1,6,2005,2005,3,alucard (1); Gween (1); Ludwigmakart (1); Mirodek (1); Mirokan (1); Onizuka (1); Shana (1); Vahn (1)
Keleldur,74,915,2004,2026,3,Vahn (31); Maseeri (26); Adema (19); Francislake (17); Ariel (16); Sylvimar (15); Euridas (10); Eufrasia (8); Arphenix (8); ThamiorLothain (6); Wiliand (5); Ireth (5); Kelen (4); Kiol (4); Vosthyl (4)
Kelen,6,67,2004,2019,4,Keleldur (4); Ariendehel (3); Cloud (3); Ella (3); Gween (3); Loki (3); Malduin (3); Sismor (3); Wiliand (3); Xebox (3); Adon (1); alucard (1); Anarion (1); Artax (1); Bauster (1)
Kemfret,3,38,2007,2007,2,Amlaric (2); Anarion (2); Bauster (2); Catlyn (2); Enrick (2); Lyzur (2); Aisha (1); Dadox (1); Desdemona (1); Elariell (1); Habel (1); Leivin (1); Maseeri (1); Maximilian (1); Rost (1)
Kenny,1,10,2006,2006,6,Adhanedhel (1); Aleleres (1); Alisa (1); Ambry (1); Aouda (1); Ariel (1); Arthas (1); Arwin (1); Deving (1); Emelaine (1); Ervine (1); Galadriell (1); Ifrid (1); Jose (1); Lalique (1)
Kerberos,1,5,2004,2004,8,Dennart (1); Drako (1); Edalet (1); Elric (1); Faragor (1); Razheem (1)
Kered,9,126,2007,2008,2,Lilithas (5); Isthar (3); Elrik (2); Goran (2); Leivin (2); Vein (2); Irdon (2); Lyath (2); Mogan (2); Euridas (2); Giosia (2); Ireth (2); Artax (1); Rhen (1); Tiran (1)
Keren,2,33,2007,2008,1,Axia (2); Bauster (2); Fortescue (2); Keric (2); Loto (2); Saval (2); Emile (1); Juliette (1); Khiber (1); Phemt (1); Daerithas (1); Enrick (1); Nicodemus (1); Ramyr (1); Sehmeola (1)
Keric,16,139,2007,2009,1,Voltan (5); Ylerei (4); Bauster (4); Fortescue (4); Asgard (3); Silvereth (3); Axia (3); Dajemona (3); Monfort (3); Daerithas (2); Desdemona (2); Khiber (2); Beren (2); Enrick (2); Nicodemus (2)
Kerixon,6,24,2006,2006,5,Farfa (2); merlinho (2); Shimal (2); Valen (2); Elina (2); Ales (1); Artemys (1); Atanvarnie (1); Benjamin (1); Bohann (1); Cardias (1); Ferarius (1); Fibi (1); Helen (1); Langdal (1)
Keylan,5,53,2004,2007,4,Alastor (3); Maseeri (3); Morganas (3); Rhyannor (3); Wiliand (3); Xebox (3); Ayla (2); Conner (2); Edgewood (2); Eorinan (2); Gween (2); Loki (2); Malduin (2); Midhriel (2); Rurik (2)
Khael,47,791,2007,2025,2,Euridas (14); Dajemona (11); Ireth (11); Adema (9); Phemt (7); Mardok (7); Eufrasia (6); Francislake (5); Field (5); Izayoi (5); Kyle (4); Aranes (4); Maximilian (4); Vein (4); Sinmaril (3)
Khalid,1,10,2013,2013,0,Erebo (1); Olkathazar (1); Vahn (1)
Khalux,63,622,2002,2025,0,Arioch (20); Elimar (18); Thalion (12); Khira (11); Francislake (9); Laurens (8); Elyen (7); Tarik (7); Essedil (5); Morgoth (5); Thorck (5); Nyden (5); Erebo (5); Abdulaziim (5); Amaranth (4)
Khazard,1,7,,,4,Anarion (1); Ayla (1); Bhrama (1); Celebi (1); Cloud (1); Dehro (1); Dibbe (1); Eithel (1); Eorinan (1); Frazelhar (1); Ireth (1); Jolrael (1); Kahzar (1); Lucrezia (1); Malduin (1)
Khel,3,21,2007,2007,4,Ellenroh (3); Fate (3); Tyrus (3); Loriel (2); Oltar (2); Rhoan (2); Rhyannor (2); Rigardo (2); Sealyan (2); Tatoz (2); Thorek (2); Unicorn (2); Carmin (1); Hammond (1); Myrddinwyllt (1)
Kherk,4,32,2008,2009,0,Thorck (4); Dareh (1); Volrath (1); Stige (1); Aelistrae (1)
Khiber,5,48,2007,2007,1,Desdemona (2); Ylerei (2); Voltan (2); Keric (2); Cronin (1); Elimar (1); Zem (1); Alcalime (1); Ezequiel (1); Ludvig (1); Luis (1); Marksen (1); Agarawen (1); Asgard (1); Daerithas (1)
Khira,16,182,2013,2013,0,Khalux (11); Arioch (10); Musang (4); Thalion (3); Elimar (3); Nyden (3); Tarik (2); Barahir (2); Jarves (1); Lars (1); Naser (1); Ramel (1); Slythrott (1); Claymore (1); Deniels (1)
Khris,3,3,2006,2006,5,Arendhil (3); Bohann (3); Eufrasia (3); Icon (3); Killen (3); Langdal (3); Tordek (3); Ulrich (3); Zandak (3)
Kihrya,4,36,2006,2006,5,Morganas (3); Shimal (3); Ismael (2); Alcalime (1); Bluetue (1); Bohann (1); Carmin (1); Damizza (1); Etirus (1); Helendil (1); Icon (1); Iversonn (1); Krauser (1); Marl (1); Senuz (1)
Killen,3,9,2006,2006,5,Arendhil (3); Bohann (3); Eufrasia (3); Icon (3); Khris (3); Langdal (3); Tordek (3); Ulrich (3); Zandak (3)
Kiol,42,381,2004,2025,1,Asgard (9); Sylvimar (9); Ylerei (8); merlinho (8); Arphenix (8); Nefibi (8); Ariel (7); Euridas (7); Francislake (7); Desdemona (5); Lenian (5); Adema (5); Gwayne (4); Vahn (4); Keleldur (4)
Kirden,2,5,2008,2008,1,Dajemona (1); Skan (1); Suite (1); Voltan (1); Growyn (1); Harad (1); Hatlach (1); Theklis (1)
Kirdest,4,15,2008,2008,1,Eiko (2); merlinho (2); Monfort (2); Rhyannor (2); Alucadde (1); Asgard (1); Aslanner (1); Desdemona (1); Hennet (1); Heremidas (1); Lawrence (1); Voltan (1); Ylerei (1); Jarel (1); Loxis (1)
Kiri,1,9,2009,2009,2,Alerik (1); Dazed (1); Lilithas (1)
Kishi,9,123,2006,2008,5,Ireth (4); Euridas (3); Elrik (2); Gard (2); Kushluk (2); Oltar (2); Albus (2); Bartech (2); deargh (2); Federicis (2); Fibi (2); Helendil (2); Imhrien (2); Iversonn (2); Janas (2)
Klaesy,4,33,2006,2007,5,Mirodek (2); Carmin (2); Imhrien (1); laesy (1); Kiol (1); Borador (1); Ellenroh (1); Gaizen (1); Hassel (1); Loriel (1); Volrath (1); Waimar (1)
Klask,1,3,2008,2008,1,Ailin (1); Alcalime (1); Anthony (1); Aranel (1); Ariel (1); Arphenix (1); Eclis (1); Elimar (1); Elyanth (1); Kushluk (1); Sumiree (1)
Kleanor,1,2,2008,2008,3,Ariel (1); Arphenix (1); Elyanth (1); Keric (1); Kiol (1); Nefibi (1); Sylvimar (1)
knives,15,116,2006,2019,2,Gwayne (4); Nyden (4); Anarion (3); Isil (3); Maxi (3); Mekylius (3); Mirael (3); Vahn (3); Artax (2); Kiol (2); Celine (2); Geminah (2); Adon (1); alucard (1); Bauster (1)
Kolcas,2,5,2007,2007,4,Asgard (2); Eden (2); Eorinan (2); Hisphanico (2); Loki (2); Malduin (2); Raxiel (2)
Konig,1,1,2006,2006,0,Lenien (1); Lyzur (1)
Krauler,2,14,2006,2006,5,Asmira (2); Blancks (2); Carmin (2); Christof (2); Ellenroh (2); Ormys (2); Robbert (2); Silvereth (2)
Krauser,5,35,2006,2006,5,Bohann (4); Icon (3); Ismael (3); Iversonn (2); Cardias (2); Janas (2); Langdal (2); Lunin (2); Lyron (2); Orghan (2); Romanius (2); Vilhelm (2); Xanathonum (2); Alcalime (1); Bluetue (1)
Krellem,2,17,2006,2007,4,Devan (1); Elrik (1); Nathan (1); Haldir (1); Kanon (1); Loki (1); Oltar (1); Sertos (1); Tiran (1); Vosthyl (1)
Krimgor,8,126,2004,2005,4,Midhriel (7); Anarion (5); Alsen (4); Arwiel (4); Asgard (4); Cleryon (4); deargh (4); Hamild (4); Kahzar (4); Loriel (4); merlinho (4); Teclis (4); Tyreal (4); Unicorn (4); Ireth (3)
Krois,2,18,2014,2014,3,Ariel (2); Arphenix (2); Deniels (2); Catlyne (1); Francislake (1); Nienor (1)
Krulak,1,9,2008,2008,2,Euridas (1); Irdon (1); Rhyannor (1); Serventis (1); Sinmaril (1)
Krunk,1,23,2009,2009,1,Adema (1); Alexander (1); Loxis (1); Philippe (1); Rhyannor (1); Stige (1)
Krusc,6,25,2007,2007,5,Ninksi (2); Andrej (2); Bea (2); Eufrasia (2); Helen (2); Imloth (2); Tieryn (2); Troy (2); Tyrion (2); Unicorn (2); Izayoi (1); Myrddinwyllt (1); Alcalime (1); Loxis (1); merlinho (1)
Kruvenz,10,77,2007,2012,0,Lyzur (4); Shpawn (4); Zakk (4); Edwar (3); Murzgaash (3); Andrey (3); Elimar (3); Katon (3); Lionel (3); Raxiel (3); Regan (3); Isthar (2); Emeth (2); Antarhak (2); Relenan (2)
Kuroi,1,23,2013,2013,3,Francislake (1); merlinho (1)
Kushluk,21,209,2006,2008,2,Elrik (14); Bill (10); Jarl (8); Oltar (4); Hamild (3); Elyanth (3); Veronique (2); Elimar (2); Herywen (2); Beatrix (2); Gard (2); Kishi (2); Ailin (2); Aranel (2); Ariel (2)
Kyan,1,4,2007,2007,5,Adrian (1); Garret (1); Keleldur (1); Nefibi (1); Nightbreeze (1); Srealp (1)
Kyle,9,94,2008,2012,2,Euridas (4); Ireth (4); Khael (4); Dadox (4); Ghilbli (4); Anarion (3); Aranes (3); Azhal (3); Field (3); Galamir (3); Izayoi (3); Mardok (3); Maximilian (3); Vein (3); Jeko (3)
Kyra,18,200,2008,2008,1,merlinho (5); Malvenis (4); Loxis (3); Habel (3); Herywen (3); Jeanne (3); Kiol (3); Orestur (3); Axia (2); Celine (2); Lorenne (2); Nicodemus (2); Aralas (2); Daerithas (2); Guliem (2)
Kyrian,1,24,2012,2012,0,Alistair (1); Tyrande (1)
laesy,1,1,2006,2006,5,Carmin (1); Imhrien (1); Klaesy (1); Mirodek (1)
Laghas,1,1,2005,2005,4,Anya (1); Gween (1); Ireth (1); Maseeri (1); Vahn (1); Xebox (1)
Laiho,9,68,2005,2008,2,Ireth (6); Euridas (6); Tyrion (2); Khael (2); Blanko (1); Mirael (1); Steel (1); Achitia (1); Kishi (1); Rhyannor (1); Serventis (1); Hatlach (1); Lilithas (1); Tremain (1); Eufrasia (1)
Laira,6,64,2013,2013,0,merlinho (4); Hashim (2); Relenan (2); Alyosha (2); Lenian (1); Maximilian (1); Rebecca (1); Claymore (1); Deniels (1); Domino (1); Necronomic (1); Khalux (1); Thalion (1); Euphemia (1); Morpheus (1)
Laksmi,2,25,2007,2007,5,Andrej (2); Niniel (2); Bartech (1); Bea (1); Daarigraz (1); Glaider (1); Krusc (1); Sylen (1); Anadyr (1); Anduriel (1); Arkaon (1); Christabel (1); Dofa (1); Heleg (1); Layla (1)
Lalette,4,22,2010,2012,0,Rhyannor (2); Alexander (2); Loxis (2); Orione (2); Dibbe (1); Leondraco (1); Ada (1); Abela (1); Cyru (1); Hyreen (1); Katon (1); Malll (1); Angin (1); Carcinero (1)
Lalique,1,5,2006,2006,6,Adhanedhel (1); Aleleres (1); Alisa (1); Ambry (1); Aouda (1); Ariel (1); Arthas (1); Arwin (1); Deving (1); Emelaine (1); Ervine (1); Galadriell (1); Ifrid (1); Jose (1); Kenny (1)
Lamhia,4,4,2004,2006,2,DarkEyes (4); Darktruecoby (4); Donegal (4); Ebenezer (4); Malduin (4); Nyden (4); Steel (4)
Lance,1,6,2005,2005,4,Alastor (1); Alexander (1); Allie (1); Ascot (1); Baal (1); Helena (1); Igrey (1); Ireth (1); Kandar (1); Keylan (1); Lantys (1); Lenara (1); Mirodek (1); Morganas (1); Pharsifal (1)
Lancel,20,127,2008,2025,0,Emile (8); Zanner (4); Monfort (4); Eventine (4); Ramel (4); Tyrion (4); Lorenne (3); Malvenis (3); Theon (3); Thorck (3); Elimar (3); Fortescue (2); Lyzur (2); Anarion (2); Tarik (2)
Langdal,11,40,2006,2008,5,Janas (6); Icon (6); Bohann (6); Fibi (4); Anakin (3); Arhamir (3); Arphenix (3); Elwing (3); Fond (3); merlinho (3); Midhriel (3); Riukkiu (3); Tersicore (3); Thantalas (3); Wizard (3)
Lantys,1,9,2005,2005,4,Alastor (1); Alexander (1); Allie (1); Ascot (1); Baal (1); Helena (1); Igrey (1); Ireth (1); Kandar (1); Keylan (1); Lance (1); Lenara (1); Mirodek (1); Morganas (1); Pharsifal (1)
Lao,2,13,2007,2007,1,Bill (1); Beren (1); Keric (1)
Lares,4,27,2008,2008,1,Alucadde (1); Aranel (1); Fortescue (1); Geror (1); Loxis (1); merlinho (1); Phemt (1); Arendhil (1); Nordiselv (1); Norman (1); Rhaul (1); Zanner (1)
Larethian,2,15,2005,2006,2,Zanner (1); Elyanth (1)
Lariel,1,2,2008,2008,0,Fek (1); Galamir (1); Jeko (1); Thorck (1)
Lars,4,38,2013,2013,0,Arioch (3); Khalux (3); Jarves (2); Laurens (2); Ramel (2); Tarik (2); Elimar (1); Izayoi (1); Thalion (1); Warlock (1); Gulun (1); Khira (1); Naser (1); Slythrott (1); Erebo (1)
Laurens,17,135,2010,2014,0,Khalux (8); Elimar (7); Carcinero (5); Thalion (5); Arioch (4); Izayoi (4); Tarik (4); Ada (3); Elyen (3); Slythrott (3); Erebo (3); Claymore (2); Luinil (2); merlinho (2); Ortenzio (2)
Laurent,2,16,2004,2004,4,Dibbe (2); Enarius (2); Jeff (2); Kiol (2); Mendar (2); Miroth (2); Raistlin (2)
Laver,1,3,2008,2008,1,Edwar (1); Nimoe (1); Ramyr (1); Skan (1)
Lawrence,7,69,2008,2008,1,Hennet (5); Cloud (4); Bauster (2); Alcalime (1); Areion (1); Shimal (1); Dhac (1); Alucadde (1); Asgard (1); Aslanner (1); Desdemona (1); Heremidas (1); Kirdest (1); Voltan (1); Ylerei (1)
Layard,2,25,2007,2007,5,Asmira (2); Eufrasia (2); Jeanne (2)
Layla,3,31,2007,2008,5,Fortescue (2); Feagost (1); Loxis (1); merlinho (1); Palancar (1); Svitknoa (1); Anadyr (1); Andrej (1); Anduriel (1); Arkaon (1); Christabel (1); Dofa (1); Heleg (1); Laksmi (1); Nahim (1)
Laython,1,6,2006,2006,2,Adon (1); Benjamin (1)
Learn,1,1,2006,2006,2,Edea (1); Gwayne (1); Isil (1)
Lecsus,1,10,2007,2007,1,Ailin (1); Alcalime (1); Aranel (1); Balthazar (1); Dvalin (1); Kiol (1); Lizelin (1); merlinho (1); Salazar (1); Seja (1); Taurles (1); Vanilor (1)
Leena,1,13,2009,2009,0,Eclipse (1); Thorck (1)
Lehtinen,1,1,2006,2006,15,
Leilai,2,16,2008,2008,3,Alagheiron (1); Baltor (1); Elingard (1); Langdal (1); Loriel (1); Nuldest (1); Zanner (1); Blancks (1); Evaq (1); Jacques (1); Joaquim (1); Lulu (1); merlinho (1); Moxeill (1); Nihel (1)
Leinad,2,6,2008,2009,1,Ailin (2); Aranel (1); Hennet (1); Loxis (1); Tony (1); Elimar (1); Jaber (1); Thorck (1)
Leivin,10,122,2007,2008,2,Lilithas (6); Isthar (5); Alerik (5); Goran (3); Christof (2); Elrik (2); Kered (2); Vein (2); Dazed (2); Aisha (1); Amlaric (1); Anarion (1); Bauster (1); Catlyn (1); Dadox (1)
Lemoras,2,28,2006,2006,3,Belfaol (2); Melisandre (2); Anthony (1); Enrick (1); Keylan (1); Maseeri (1); Shaenlyr (1); Vahn (1)
Lenara,1,1,2005,2005,4,Alastor (1); Alexander (1); Allie (1); Ascot (1); Baal (1); Helena (1); Igrey (1); Ireth (1); Kandar (1); Keylan (1); Lance (1); Lantys (1); Mirodek (1); Morganas (1); Pharsifal (1)
Lendrin,5,35,2007,2007,1,Aranel (3); Elyador (1); Seriadel (1); Alcalime (1); Arendhil (1); Argoth (1); Arija (1); Ertai (1); Rhoan (1); Sanderx (1); Suey (1); Xella (1); Rumiko (1); Valll (1); Beren (1)
Lenian,30,262,2004,2026,0,Rephexia (6); Kiol (5); SiannaLeFair (4); Slythrott (4); Khalux (4); Izayoi (3); Arioch (3); Euridas (3); Francislake (3); Rhyannor (2); Edgewood (2); Dadox (2); Enrick (2); Elly (2); Growyn (2)
Lenien,2,3,2006,2007,0,Konig (1); Lyzur (1); Lulu (1)
Lenius,1,9,2013,2013,0,Elyen (1); Morpheus (1)
Leondraco,1,5,2010,2010,0,Dibbe (1); Lalette (1)
Leonhart,5,19,2006,2011,5,Bohann (3); Christel (3); Iversonn (3); Baltor (2); Danch (2); Rhyannor (2); Riukkiu (2); Roswald (2); Cloud (1); Fortescue (1); Loxis (1); Skan (1); Trystian (1); Arioch (1); Jacques (1)
Lester,1,2,2008,2008,0,Ailin (1); Axia (1); Emile (1); Fortescue (1); merlinho (1); Monfort (1); Thorck (1); Tyrion (1)
Leunam,1,5,2006,2006,5,Artemys (1); Bohann (1); Denia (1); Elettra (1); Ismael (1); Iversonn (1); Krauser (1)
Levesque,4,39,2004,2005,4,Eithel (3); Eldur (3); Malduin (3); Alexander (1); Celebi (1); Dercatur (1); Ethamos (1); Fortum (1); Gopher (1); Han (1); Ireth (1); Loriel (1); Manilius (1); Rhyannor (1); Saipher (1)
Leviathan,1,13,2006,2006,2,Bauster (1); Bliss (1); Ellendal (1); Kiol (1); Nathan (1); Urulex (1)
Leyana,5,90,2012,2012,0,Carcinero (4); Orione (4); Abela (2); Loxis (2); Katon (1); Neal (1); Alistair (1); Andrey (1); Regan (1); merlinho (1)
Lhiaong,1,8,2007,2007,2,Adrien (1); Aureliano (1); Garr (1); Harriet (1); Jeanne (1); Kered (1); Lendrin (1); Zanner (1)
Lianer,3,17,2008,2008,1,Skan (2); Elyin (1); Adema (1); Hatlach (1); Nyden (1); Ailin (1); Hennet (1)
Lieeru,1,22,2007,2007,1,Ago (1); Arkhemos (1); Baltor (1); Bea (1); deargh (1); Dofa (1); Ellenroh (1); Ercoca (1); Eufrasia (1); Genji (1); Gudegar (1); Han (1); Loxis (1); Rost (1); Tersicore (1)
Liendre,1,8,2008,2008,0,Adrienne (1); Emile (1); Manwe (1); Tony (1)
Liji,3,57,2005,2008,2,Vahn (2); Adon (1); alucard (1); Anarion (1); Artax (1); Bauster (1); Bortek (1); Christof (1); Desdemona (1); Dominique (1); Elwe (1); Enrick (1); Gwayne (1); Ishin (1); Jagor (1)
Likos,3,15,2007,2008,1,Anne (1); Aranel (1); Argoth (1); Emelaine (1); Sanderx (1); Tieryn (1); Dreadis (1); Growyn (1); Rhyannor (1); Alucadde (1); Artemidia (1); merlinho (1); Mossflower (1); Nohel (1); Oigamed (1)
Lilithas,27,344,2006,2009,2,Alerik (14); Goran (9); Mogan (8); Christof (7); Isthar (7); Irdon (6); Elrik (6); Leivin (6); Euridas (5); Ireth (5); Tremain (5); Kered (5); Lyath (5); Dazed (5); Vein (4)
Lilium,3,23,2025,2025,3,Akuma (2); Ariel (2); Keleldur (2); Maseeri (2); Serathvalmor (1); Vahn (1)
Lillith,1,2,2004,2004,3,Faelya (1); Onizuka (1); Shana (1); ThamiorLothain (1); Vahn (1)
Lindal,2,16,2008,2008,1,Aslanner (1); Skan (1); Alcalime (1); Alimus (1); Aranel (1); Hennet (1); lLindal (1); Loxis (1)
Liniol,4,46,2008,2013,0,Ireth (1); Giosia (1); Jeffree (1); Mogan (1); Tinuviel (1); Edwar (1); Emeth (1); Kruvenz (1); Maynard (1); Alydia (1); Arioch (1); Cosme (1); DarkEyes (1); Elimar (1); Kazuya (1)
Lionel,9,63,2012,2013,0,Andrey (4); Katon (4); Elimar (3); Kruvenz (3); Lyzur (3); Raxiel (3); Regan (3); Relenan (3); Shpawn (3); Zakk (3); Claymore (3); Mynoth (3); Antarhak (2); Murzgaash (2); Mossflower (2)
Lionhalt,1,7,2005,2005,4,Cathein (1); Ellenroh (1); Himril (1); merlinho (1); Midhriel (1); Miroth (1)
Lisith,2,8,2007,2007,6,Ago (2); Zedar (2); Ariel (1); Berkana (1); Creantair (1); Nefibi (1)
Liuck,1,1,2008,2008,1,Alcalime (1); Megalos (1); Skan (1); Varion (1)
Liutasil,1,2,2008,2008,16,
Lizelin,7,85,2006,2007,6,Andrex (4); Elina (4); Gudegar (4); Jas (4); Manadriel (4); Myrddinwyllt (4); Ratav (4); merlinho (2); Adhanedhel (1); Aleleres (1); Alisa (1); Ambry (1); Aouda (1); Ariel (1); Arthas (1)
Lizert,1,2,2005,2005,3,Alsen (1); Arioch (1); Corwin (1); Halmar (1); Mandon (1); Melisandre (1); Mirael (1); Porphiri (1); Shana (1); Tailer (1); ThamiorLothain (1); Tordek (1); Tristina (1); Vahn (1)
Lizzie,1,26,2007,2007,5,Arhamir (1); Axia (1); Ducan (1); Hyrea (1); Manfris (1); Mathis (1)
lLindal,1,1,,,1,Alcalime (1); Alimus (1); Aranel (1); Hennet (1); Lindal (1); Loxis (1)
Llytur,1,1,2008,2008,3,Jeal (1); Lulu (1); merlinho (1); Mogan (1); Nihel (1)
Locost,2,5,2013,2013,0,Izayoi (2)
Loial,1,6,2006,2006,3,Ayla (1); Gurnbeld (1); Horas (1); Joshua (1); Kazuya (1); Keleldur (1); Malantio (1); Ratav (1); Vahn (1); Wiliand (1)
